"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-01","26","32","19"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-02","23","25","20"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-03","40","55","25"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-04","27","32","21"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-05","22","27","17"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-06","26","35","16"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-07","34","40","27"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-08","27","31","22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-09","36","45","26"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-10","25","30","20"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-11","27","32","22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-12","44","57","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-13","48","58","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-14","33","38","28"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-15","34","39","28"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-16","40","54","26"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-17","45","58","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-18","48","59","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-19","46","55","36"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-20","44","51","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-21","41","47","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-22","46","51","41"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-23","59","71","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-24","50","59","40"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-25","43","50","36"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-26","43","49","36"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-27","44","55","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-28","52","63","40"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-29","47","56","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-30","40","48","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-01-31","31","35","26"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-01","32","39","25"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-02","45","53","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-03","49","57","41"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-04","48","54","42"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-05","45","51","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-06","46","54","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-07","42","48","35"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-08","40","45","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-09","45","58","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-10","50","59","40"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-11","51","65","36"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-12","56","74","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-13","35","40","29"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-14","36","43","28"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-15","39","51","27"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-16","48","64","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-17","48","57","39"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-18","44","51","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-19","39","45","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-20","37","43","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-21","33","38","27"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-22","28","34","22"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-23","26","31","20"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-24","32","39","24"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-25","33","38","28"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-26","40","48","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-27","41","52","30"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-02-28","45","48","42"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-01","44","49","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-02","48","58","37"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-03","54","69","39"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-04","39","44","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-05","40","48","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-06","49","57","40"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-07","33","40","25"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-08","30","40","20"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-09","28","31","25"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-10","32","37","27"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-11","35","42","27"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-12","39","46","31"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-13","40","47","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-14","37","41","33"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-15","41","47","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-16","46","57","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-17","58","76","39"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-18","59","72","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-19","47","55","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-20","44","56","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-21","45","48","42"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-22","46","53","39"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-23","43","54","32"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-24","52","59","45"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-25","47","54","39"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-26","43","52","34"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-27","45","52","38"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-28","52","61","42"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-29","57","71","43"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-30","56","67","45"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-03-31","56","72","40"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-01","58","62","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-02","63","71","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-03","60","70","50"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-04","66","84","48"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-05","53","60","45"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-06","54","66","41"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-07","63","74","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-08","67","85","48"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-09","59","69","49"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-10","54","62","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-11","50","52","47"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-12","51","58","44"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-13","53","63","43"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-14","58","70","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-15","52","58","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-16","59","69","48"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-17","54","61","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-18","53","61","44"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-19","51","60","41"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-20","53","59","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-21","48","55","41"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-22","66","82","49"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-23","61","69","53"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-24","52","63","41"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-25","53","64","42"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-26","61","77","44"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-27","60","69","50"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-28","58","65","50"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-29","57","68","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-04-30","56","66","46"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-01","57","67","47"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-02","59","69","48"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-03","56","62","50"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-04","66","78","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-05","65","77","53"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-06","64","70","58"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-07","68","78","58"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-08","70","78","62"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-09","70","79","61"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-10","66","78","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-11","67","78","56"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-12","72","85","58"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-13","66","71","60"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-14","61","67","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-15","63","73","52"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-16","61","71","51"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-17","65","75","54"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-18","68","79","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-19","73","79","65"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-20","68","79","57"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-21","67","81","53"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1999-05-22","74","88","60"
