"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"JA000047759","KYOTO, JA","1999-01-01","40","46",
"JA000047759","KYOTO, JA","1999-01-02","43","51","33"
"JA000047759","KYOTO, JA","1999-01-03","41","49",
"JA000047759","KYOTO, JA","1999-01-04","42","49","36"
"JA000047759","KYOTO, JA","1999-01-05","42","54",
"JA000047759","KYOTO, JA","1999-01-06","46",,"33"
"JA000047759","KYOTO, JA","1999-01-07","41","55",
"JA000047759","KYOTO, JA","1999-01-08","34","41",
"JA000047759","KYOTO, JA","1999-01-09","35","44","29"
"JA000047759","KYOTO, JA","1999-01-11","39","46",
"JA000047759","KYOTO, JA","1999-01-12","39","45",
"JA000047759","KYOTO, JA","1999-01-13","42","51","35"
"JA000047759","KYOTO, JA","1999-01-14","42","49","37"
"JA000047759","KYOTO, JA","1999-01-15","40","43",
"JA000047759","KYOTO, JA","1999-01-16","43",,"37"
"JA000047759","KYOTO, JA","1999-01-17","36","44",
"JA000047759","KYOTO, JA","1999-01-18","42","53","31"
"JA000047759","KYOTO, JA","1999-01-19","45","48","36"
"JA000047759","KYOTO, JA","1999-01-20","45","55",
"JA000047759","KYOTO, JA","1999-01-21","38","47",
"JA000047759","KYOTO, JA","1999-01-22","38","51",
"JA000047759","KYOTO, JA","1999-01-23","47","56","33"
"JA000047759","KYOTO, JA","1999-01-24","45","48",
"JA000047759","KYOTO, JA","1999-01-25","47","52",
"JA000047759","KYOTO, JA","1999-01-26","42","52",
"JA000047759","KYOTO, JA","1999-01-27","44","52","33"
"JA000047759","KYOTO, JA","1999-01-28","41","51",
"JA000047759","KYOTO, JA","1999-01-29","38","48","33"
"JA000047759","KYOTO, JA","1999-01-30","37","44",
"JA000047759","KYOTO, JA","1999-01-31","42","52","30"
"JA000047759","KYOTO, JA","1999-02-01","43",,"38"
"JA000047759","KYOTO, JA","1999-02-02","39","52",
"JA000047759","KYOTO, JA","1999-02-03","30","38",
"JA000047759","KYOTO, JA","1999-02-04","32","36","24"
"JA000047759","KYOTO, JA","1999-02-05","39","47","27"
"JA000047759","KYOTO, JA","1999-02-06","36","45",
"JA000047759","KYOTO, JA","1999-02-07","41","54","29"
"JA000047759","KYOTO, JA","1999-02-08","43","56",
"JA000047759","KYOTO, JA","1999-02-09","45","56","33"
"JA000047759","KYOTO, JA","1999-02-10","42",,
"JA000047759","KYOTO, JA","1999-02-11","38","41",
"JA000047759","KYOTO, JA","1999-02-12","37","44",
"JA000047759","KYOTO, JA","1999-02-13","34","41",
"JA000047759","KYOTO, JA","1999-02-14","38","47","29"
"JA000047759","KYOTO, JA","1999-02-15","41","51",
"JA000047759","KYOTO, JA","1999-02-16","44","55","32"
"JA000047759","KYOTO, JA","1999-02-17","48","60","34"
"JA000047759","KYOTO, JA","1999-02-18","44","47",
"JA000047759","KYOTO, JA","1999-02-19","37","44",
"JA000047759","KYOTO, JA","1999-02-20","39","48","30"
"JA000047759","KYOTO, JA","1999-02-21","37","46",
"JA000047759","KYOTO, JA","1999-02-22","41","51","31"
"JA000047759","KYOTO, JA","1999-02-23","45","54",
"JA000047759","KYOTO, JA","1999-02-24","46","48","40"
"JA000047759","KYOTO, JA","1999-02-25","44","55",
"JA000047759","KYOTO, JA","1999-02-26","51","56","34"
"JA000047759","KYOTO, JA","1999-02-27","41","59",
"JA000047759","KYOTO, JA","1999-02-28","40","46","34"
"JA000047759","KYOTO, JA","1999-03-01","47","60","35"
"JA000047759","KYOTO, JA","1999-03-02","51",,"38"
"JA000047759","KYOTO, JA","1999-03-03","51","62",
"JA000047759","KYOTO, JA","1999-03-04","55","62","39"
"JA000047759","KYOTO, JA","1999-03-05","57","66",
"JA000047759","KYOTO, JA","1999-03-06","48","56",
"JA000047759","KYOTO, JA","1999-03-07","46","48","42"
"JA000047759","KYOTO, JA","1999-03-08","47",,"44"
"JA000047759","KYOTO, JA","1999-03-09","43","47",
"JA000047759","KYOTO, JA","1999-03-10","47","55",
"JA000047759","KYOTO, JA","1999-03-11","45","52",
"JA000047759","KYOTO, JA","1999-03-12","41","47",
"JA000047759","KYOTO, JA","1999-03-13","53","58","35"
"JA000047759","KYOTO, JA","1999-03-14","60","66","50"
"JA000047759","KYOTO, JA","1999-03-15","56","62",
"JA000047759","KYOTO, JA","1999-03-16","50","58",
"JA000047759","KYOTO, JA","1999-03-17","60","70","41"
"JA000047759","KYOTO, JA","1999-03-18","65","71",
"JA000047759","KYOTO, JA","1999-03-19","53","63",
"JA000047759","KYOTO, JA","1999-03-20","42","45",
"JA000047759","KYOTO, JA","1999-03-21","44",,
"JA000047759","KYOTO, JA","1999-03-22","37","41",
"JA000047759","KYOTO, JA","1999-03-23","44","54","34"
"JA000047759","KYOTO, JA","1999-03-24","54","63","35"
"JA000047759","KYOTO, JA","1999-03-25","61",,"50"
"JA000047759","KYOTO, JA","1999-03-26","60","64",
"JA000047759","KYOTO, JA","1999-03-27","47","55",
"JA000047759","KYOTO, JA","1999-03-28","46","56",
"JA000047759","KYOTO, JA","1999-03-29","42","55","38"
"JA000047759","KYOTO, JA","1999-03-30","48",,"38"
"JA000047759","KYOTO, JA","1999-03-31","53","66",
"JA000047759","KYOTO, JA","1999-04-01","62","71","43"
"JA000047759","KYOTO, JA","1999-04-02","53","66",
"JA000047759","KYOTO, JA","1999-04-03","47","55",
"JA000047759","KYOTO, JA","1999-04-04","51","63","39"
"JA000047759","KYOTO, JA","1999-04-05","54","63",
"JA000047759","KYOTO, JA","1999-04-06","53","64","45"
