"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-01",,"39","28"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-02",,"45","28"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-03",,"52","40"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-04",,"55","44"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-05",,"56","43"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-06",,"52","38"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-07",,"56","33"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-08",,"52","41"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-09",,"45","37"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-10",,"37","34"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-11",,"35","31"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-12",,"32","22"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-13",,"38","27"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-14",,"43","35"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-15",,"48","35"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-16",,"50","33"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-17",,"52","34"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-18",,"49","36"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-19",,"46","33"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-20",,"46","32"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-21",,"47","31"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-22",,"43","28"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-23",,"39","28"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-24",,"44","29"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-25",,"54","32"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-26",,"54","37"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-27",,"43","36"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-28",,"47","37"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-29",,"39","29"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-30",,"30","22"
"SZ000001940","BASEL BINNINGEN, SZ","1999-01-31",,"31","21"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-01",,"29","19"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-02",,"35","24"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-03",,"39","27"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-04",,"47","38"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-05",,"46","38"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-06",,"40","34"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-07",,"41","31"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-08",,"34","29"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-09",,"31","25"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-10",,"31","25"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-11",,"31","19"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-12",,"23","8"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-13",,"27","6"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-14",,"31","18"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-15",,"36","24"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-16",,"41","24"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-17",,"38","35"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-18",,"42","35"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-19",,"49","41"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-20",,"50","48"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-21",,"49","45"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-22",,"47","34"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-23",,"38","33"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-24",,"37","33"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-25",,"42","32"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-26",,"47","30"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-27",,"54","33"
"SZ000001940","BASEL BINNINGEN, SZ","1999-02-28",,"47","35"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-01",,"51","32"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-02",,"55","47"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-03",,"55","42"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-04",,"42","38"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-05",,"47","37"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-06",,"43","36"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-07",,"45","34"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-08",,"46","31"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-09",,"54","39"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-10",,"56","43"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-11",,"54","44"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-12",,"63","43"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-13",,"68","41"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-14",,"66","42"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-15",,"58","43"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-16",,"58","40"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-17",,"54","34"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-18",,"51","31"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-19",,"44","37"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-20",,"48","35"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-21",,"55","32"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-22",,"44","39"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-23",,"43","38"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-24",,"62","36"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-25",,"64","37"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-26",,"60","47"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-27",,"47","36"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-28",,"43","38"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-29",,"49","41"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-30",,"58","36"
"SZ000001940","BASEL BINNINGEN, SZ","1999-03-31",,"63","36"
"SZ000001940","BASEL BINNINGEN, SZ","1999-04-01",,"68","38"
"SZ000001940","BASEL BINNINGEN, SZ","1999-04-02",,"65","45"
"SZ000001940","BASEL BINNINGEN, SZ","1999-04-03",,"63","50"
"SZ000001940","BASEL BINNINGEN, SZ","1999-04-04",,"60","51"
"SZ000001940","BASEL BINNINGEN, SZ","1999-04-05",,"66","46"
"SZ000001940","BASEL BINNINGEN, SZ","1999-04-06",,"72","46"
