"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-01","40","48","33"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-02","37","44","30"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-03","34","42","26"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-04","39",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-05","41",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-06","39","47","33"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-07","43",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-08","44",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-09","43","46","41"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-11","47",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-12","46",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-13","43",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-14","47",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-15","42","52","37"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-16","42","46","37"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-17","41","44","37"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-18","43","47","39"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-19","46","48","40"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-20","44",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-21","45",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-22","42",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-23","41","45","37"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-24","34","46","30"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-25","38","39","30"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-26","39",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-27","39","43","32"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-28","41","44","32"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-29","44",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-30","37","48","31"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-01-31","40","43","31"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-01","42",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-02","45",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-03","41","53","37"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-04","40",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-05","41","45","36"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-06","42",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-07","41","45","35"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-08","41","45","35"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-09","36","44","31"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-10","35",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-11","39",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-12","44",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-13","47","51","39"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-14","39","50","32"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-15","39",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-16","44","49","32"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-17","44",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-18","41","50","36"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-19","41",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-20","42",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-21","46","53","36"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-22","44",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-23","42","50","38"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-24","46","50","38"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-25","46","51","40"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-26","41","48","31"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-27","41","46","31"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-02-28","46","50","35"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-01","43",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-02","39","47","33"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-03","43","48","33"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-04","42",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-05","42","50","34"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-06","38","46","31"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-07","38",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-08","44",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-09","45","53","40"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-10","43","51","39"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-11","41",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-12","45","50","30"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-13","45",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-14","42",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-15","40",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-16","39",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-17","42",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-18","43","50","35"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-19","46",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-20","46",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-21","49","54","36"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-22","47",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-23","49",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-24","51","57","45"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-25","45","54","39"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-26","45","49","39"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-27","43","48","37"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-28","40","48","35"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-29","43",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-30","42","48","36"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-03-31","41",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-01","43",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-02","43","51","31"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-03","41",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-04","43","50","35"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-05","42",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-06","44","52","33"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-07","46","54","36"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-08","45","49","40"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-09","42","50","34"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-10","46",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-11","47",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-12","51","63","36"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-13","47","54","42"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-14","45",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-15","48",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-16","53",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-17","56",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-18","54","67","45"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-19","48","59","44"
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-20","46",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-21","47",,
"CA001108395","VANCOUVER INTERNATIONAL A, BC CA","1999-04-22","48",,
